,County,Agency,Year,Months Reported,Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
0,Albany,Albany City PD,2018,12.0,3968.0,822.0,12.0,51.0,209.0,550.0,3146.0,432.0,2584.0,130.0,Non-New York City
1,Albany,Albany County Park PD,2018,7.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
2,Albany,Albany County Sheriff,2018,12.0,130.0,16.0,0.0,6.0,0.0,10.0,114.0,19.0,82.0,13.0,Non-New York City
3,Albany,Albany County State Police,2018,12.0,158.0,30.0,0.0,25.0,0.0,5.0,128.0,5.0,121.0,2.0,Non-New York City
4,Albany,Altamont Vg PD,2018,12.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,6.0,0.0,Non-New York City
5,Albany,Bethlehem Town PD,2018,12.0,526.0,27.0,0.0,8.0,3.0,16.0,499.0,28.0,466.0,5.0,Non-New York City
6,Albany,Coeymans Town PD,2018,12.0,78.0,7.0,0.0,0.0,0.0,7.0,71.0,9.0,56.0,6.0,Non-New York City
7,Albany,Cohoes City PD,2018,12.0,242.0,46.0,1.0,5.0,9.0,31.0,196.0,25.0,158.0,13.0,Non-New York City
8,Albany,Colonie Town PD,2018,12.0,1936.0,80.0,0.0,3.0,25.0,52.0,1856.0,130.0,1678.0,48.0,Non-New York City
9,Albany,County Total,2018,11.727994705493051,8355.0,1110.0,13.0,118.0,260.0,719.0,7245.0,754.0,6264.0,227.0,Non-New York City
10,Albany,Green Island Vg PD,2018,12.0,39.0,7.0,0.0,5.0,0.0,2.0,32.0,6.0,26.0,0.0,Non-New York City
11,Albany,Guilderland Town PD,2018,12.0,714.0,27.0,0.0,8.0,6.0,13.0,687.0,31.0,652.0,4.0,Non-New York City
12,Albany,Menands Vg PD,2018,12.0,145.0,5.0,0.0,0.0,2.0,3.0,140.0,10.0,128.0,2.0,Non-New York City
13,Albany,SUNY Police - Albany,2018,12.0,149.0,7.0,0.0,4.0,1.0,2.0,142.0,20.0,122.0,0.0,Non-New York City
14,Albany,Watervliet City PD,2018,12.0,262.0,36.0,0.0,3.0,5.0,28.0,226.0,38.0,184.0,4.0,Non-New York City
15,Allegany,Alfred Vg PD,2018,12.0,22.0,6.0,0.0,1.0,2.0,3.0,16.0,6.0,10.0,0.0,Non-New York City
16,Allegany,Allegany County Sheriff,2018,12.0,5.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,Non-New York City
17,Allegany,Allegany County State Police,2018,12.0,262.0,43.0,1.0,24.0,1.0,17.0,219.0,70.0,138.0,11.0,Non-New York City
18,Allegany,Angelica Vg PD,2018,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Non-New York City
19,Allegany,County Total,2018,11.727994705493051,457.0,75.0,1.0,29.0,4.0,41.0,382.0,86.0,283.0,13.0,Non-New York City
20,Allegany,Cuba Town PD,2018,12.0,41.0,3.0,0.0,2.0,0.0,1.0,38.0,4.0,34.0,0.0,Non-New York City
21,Allegany,Friendship Town PD,2018,12.0,4.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,2.0,1.0,Non-New York City
22,Allegany,Independence Town PD,2018,12.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,0.0,Non-New York City
23,Allegany,SUNY Police - Alfred,2018,12.0,37.0,2.0,0.0,1.0,1.0,0.0,35.0,2.0,33.0,0.0,Non-New York City
24,Allegany,Wellsville Vg PD,2018,12.0,81.0,14.0,0.0,0.0,0.0,14.0,67.0,3.0,63.0,1.0,Non-New York City
25,Bronx,County Total,2018,12.0,35355.0,12514.0,91.0,662.0,3213.0,8548.0,22841.0,2095.0,19434.0,1312.0,New York City
26,Broome,Binghamton City PD,2018,12.0,2219.0,326.0,3.0,40.0,75.0,208.0,1893.0,427.0,1407.0,59.0,Non-New York City
27,Broome,Broome County Sheriff,2018,12.0,557.0,44.0,0.0,17.0,5.0,22.0,513.0,72.0,418.0,23.0,Non-New York City
28,Broome,Broome County State Police,2018,12.0,528.0,77.0,0.0,36.0,2.0,39.0,451.0,72.0,355.0,24.0,Non-New York City
29,Broome,County Total,2018,11.727994705493051,5134.0,601.0,7.0,127.0,109.0,358.0,4533.0,754.0,3634.0,145.0,Non-New York City
30,Broome,Deposit Vg PD,2018,12.0,9.0,0.0,0.0,0.0,0.0,0.0,9.0,3.0,6.0,0.0,Non-New York City
31,Broome,Endicott Vg PD,2018,12.0,467.0,70.0,0.0,17.0,14.0,39.0,397.0,62.0,327.0,8.0,Non-New York City
32,Broome,Johnson City Vg PD,2018,12.0,660.0,64.0,3.0,13.0,12.0,36.0,596.0,84.0,493.0,19.0,Non-New York City
33,Broome,Port Dickinson Vg PD,2018,12.0,19.0,0.0,0.0,0.0,0.0,0.0,19.0,8.0,11.0,0.0,Non-New York City
34,Broome,SUNY Police - Binghamton,2018,12.0,136.0,2.0,1.0,1.0,0.0,0.0,134.0,6.0,128.0,0.0,Non-New York City
35,Broome,Vestal Town PD,2018,12.0,539.0,18.0,0.0,3.0,1.0,14.0,521.0,20.0,489.0,12.0,Non-New York City
36,Cattaraugus,Allegany Vg PD,2018,12.0,12.0,2.0,0.0,0.0,0.0,2.0,10.0,1.0,9.0,0.0,Non-New York City
37,Cattaraugus,Cattaraugus County Park PD,2018,12.0,6.0,1.0,0.0,1.0,0.0,0.0,5.0,1.0,4.0,0.0,Non-New York City
38,Cattaraugus,Cattaraugus County Sheriff,2018,12.0,287.0,33.0,2.0,10.0,1.0,20.0,254.0,55.0,184.0,15.0,Non-New York City
39,Cattaraugus,Cattaraugus County State Police,2018,12.0,232.0,28.0,0.0,16.0,1.0,11.0,204.0,30.0,159.0,15.0,Non-New York City
40,Cattaraugus,Cattaraugus Vg PD,2018,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Non-New York City
41,Cattaraugus,County Total,2018,11.727994705493051,1078.0,122.0,2.0,36.0,8.0,76.0,956.0,145.0,765.0,46.0,Non-New York City
42,Cattaraugus,Ellicottville Town PD,2018,12.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,0.0,Non-New York City
43,Cattaraugus,Franklinville Vg PD,2018,12.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,0.0,Non-New York City
